,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
97,Avera,1,US,1547009700,91,33.19,-82.53,60.08,8.05
98,Castro,20,CL,1547010000,93,-42.48,-73.76,41.0,3.36
99,Bathsheba,40,BB,1547010000,78,13.22,-59.52,77.0,14.99
100,Tubuala,20,PA,1547010000,94,9.52,-79.03,73.4,2.24
101,Geraldton,90,CA,1547010000,78,49.72,-86.95,14.0,8.05
102,Port Hueneme,75,US,1547009820,89,34.15,-119.2,55.04,6.85
103,Upernavik,32,GL,1547010914,100,72.79,-56.15,-2.68,25.14
104,Kodinsk,64,RU,1547011484,72,58.6,99.18,8.04,3.6
105,Sur,8,OM,1547010917,100,22.57,59.53,71.76,5.28
106,Sinnamary,80,GF,1547011484,99,5.38,-52.96,77.83,9.86
107,Barrow,24,AR,1547010942,82,-38.31,-60.23,61.32,5.73
108,Airai,76,TL,1547010913,77,-8.93,125.41,79.45,2.26
109,Ilulissat,44,GL,1547009400,77,69.22,-51.1,3.2,19.46
110,Bredasdorp,92,ZA,1547006400,88,-34.53,20.04,68.0,6.93
111,Ibra,8,OM,1547011485,79,22.69,58.55,67.98,3.04
112,Severo-Kurilsk,48,RU,1547011230,100,50.68,156.12,23.79,11.88
113,Sao Joao da Barra,8,BR,1547010936,98,-21.64,-41.05,78.82,25.97
114,North Bend,90,US,1547009760,74,43.41,-124.22,55.04,3.36
115,Butaritari,8,KI,1547009857,98,3.07,172.79,85.98,12.77
116,Ituiutaba,44,BR,1547011486,97,-18.97,-49.46,66.85,3.04
117,Avare,56,BR,1547011303,95,-23.1,-48.93,71.85,7.92
118,Galle,20,US,1547009760,66,29.74,-97.91,60.98,9.17
119,Longyearbyen,90,NO,1547009400,85,78.22,15.63,23.0,8.05
120,Touros,75,BR,1547010000,88,-5.2,-35.46,77.0,2.24
121,Yellowknife,90,CA,1547006400,75,62.45,-114.38,-14.81,3.36
122,Gao,44,ML,1547011486,69,16.28,-0.04,52.86,7.92
123,Pierre,1,US,1547009580,56,44.37,-100.35,26.06,17.22
124,Qaanaaq,32,GL,1547010056,85,77.48,-69.36,-14.78,8.52
125,Alofi,92,NU,1547006400,79,-19.06,-169.92,86.0,6.93
126,Aksha,0,RU,1547011487,42,50.28,113.29,24.96,8.25
127,Ketchikan,1,US,1547009760,66,55.34,-131.65,37.94,8.05
128,Sola,90,FI,1547009400,92,62.78,29.36,21.2,2.24
129,Buala,44,SB,1547010907,92,-8.15,159.59,83.23,7.85
130,Masterton,48,NZ,1547011488,50,-40.95,175.66,72.3,14.41
131,Katsuura,75,JP,1547010000,45,33.93,134.5,44.6,14.99
132,Longuenesse,75,FR,1547010000,80,50.74,2.25,42.8,19.46
133,Praia da Vitoria,40,PT,1547006400,77,38.73,-27.07,60.8,25.93
134,Arraial do Cabo,0,BR,1547009849,89,-22.97,-42.02,76.53,21.68
135,Benjamin Hill,32,MX,1547011488,82,30.17,-111.1,47.55,2.48
136,Mandalgovi,0,MN,1547011275,55,45.76,106.27,13.48,13.56
137,Bafoulabe,8,ML,1547011550,65,13.81,-10.83,58.98,4.23
138,Marrakesh,0,MA,1547010000,63,31.63,-7.99,32.0,4.7
139,Mehamn,0,NO,1547007600,85,71.03,27.85,30.2,9.17
140,Corpus Christi,90,US,1547010900,89,27.8,-97.4,66.92,3.36
141,Sanming,88,CN,1547011550,83,26.24,117.6,59.02,2.82
142,Jieshi,24,CN,1547011550,80,22.82,115.83,67.44,18.54
143,Mayumba,80,GA,1547011551,100,-3.44,10.65,76.48,6.91
144,Port Elizabeth,90,US,1547009760,89,39.31,-74.98,48.56,8.05
145,Ulaanbaatar,0,MN,1547010000,54,47.92,106.92,3.2,2.24
146,Jamame,100,SO,1547011551,72,0.07,42.75,82.65,13.62
147,El Sauzal,40,AR,1547006400,94,-24.3,-64.96,71.6,2.1
148,Chokurdakh,0,RU,1547010106,0,70.62,147.9,-37.24,3.04
149,Kupino,88,RU,1547011552,87,54.36,77.31,13.35,13.33
150,Thompson,90,CA,1547006400,70,55.74,-97.86,-5.81,9.17
151,Sistranda,75,NO,1547009400,80,63.73,8.83,35.6,6.93
152,Vestmannaeyjar,92,IS,1547011552,95,63.44,-20.27,46.15,15.86
153,Byron Bay,92,AU,1547010000,65,-28.65,153.62,86.0,11.41
154,Cabo San Lucas,5,MX,1547005440,82,22.89,-109.91,68.0,3.04
155,Lahan,56,NP,1547011553,42,26.71,86.48,66.99,3.11
156,Gladstone,90,AU,1547010000,74,-23.84,151.26,78.8,14.99
157,Satan,12,PH,1547011553,35,6.86,124.41,91.2,6.13
158,Aljezur,0,PT,1547011319,100,37.31,-8.8,49.57,7.92
159,Mahon,90,IE,1547010000,100,51.89,-8.4,46.4,2.24
160,Novichikha,92,RU,1547011554,89,52.2,81.39,22.62,18.88
161,Khatanga,48,RU,1547010927,80,71.98,102.47,-18.52,6.02
162,Georgetown,20,GY,1547010000,94,6.8,-58.16,71.6,4.7
163,Shangrao,92,CN,1547011353,98,28.45,117.97,49.35,2.59
164,Hamina,90,FI,1547009400,100,60.57,27.2,26.6,4.7
165,Luderitz,0,NA,1547010909,87,-26.65,15.16,58.93,9.86
166,Waipawa,92,NZ,1547011554,50,-39.94,176.59,76.89,4.72
167,Erenhot,48,CN,1547011555,38,43.65,111.97,18.75,9.15
168,Pauini,80,BR,1547011555,99,-7.71,-67.0,72.97,2.77
169,Giddalur,0,IN,1547011555,42,15.38,78.93,82.15,4.38
170,Diamantino,44,BR,1547011555,97,-14.4,-56.44,68.7,5.23
171,Guacimo,88,CO,1547011556,97,8.09,-76.36,69.33,1.21
172,Kilindoni,64,TZ,1547011556,94,-7.91,39.67,85.26,10.31
173,Provideniya,75,RU,1547010000,77,64.42,-173.23,3.2,31.32
174,Aklavik,5,CA,1547010000,66,68.22,-135.01,-31.01,3.56
175,San Patricio,68,PY,1547010923,86,-26.98,-56.83,79.27,7.4
176,Mumford,0,GH,1547011556,91,5.26,-0.76,74.82,2.48
177,Helong,92,CN,1547011557,87,25.94,116.13,53.13,3.49
178,Bethel,90,US,1547010420,84,60.79,-161.76,1.4,14.99
179,Kudahuvadhoo,48,MV,1547011253,100,2.67,72.89,82.83,15.64
180,Constitucion,76,MX,1547011316,79,23.99,-104.67,51.24,4.34
181,Hay River,75,CA,1547010000,76,60.82,-115.79,-7.61,4.7
182,Zemio,0,CF,1547011618,82,5.02,25.13,66.85,4.05
183,Bida,0,NG,1547011618,49,9.08,6.02,63.88,7.52
184,Necochea,0,AR,1547011305,83,-38.55,-58.74,62.49,8.59
185,Mykolayivka,48,UA,1547011619,71,47.54,30.76,6.6,6.35
186,Sao Sebastiao,76,BR,1547011619,95,-3.15,-58.36,76.12,2.26
187,Arman,12,RU,1547011619,64,59.7,150.17,-4.88,4.0
188,Bambous Virieux,40,MU,1547010000,70,-20.34,57.76,84.2,11.41
189,Bilma,68,NE,1547011620,61,18.69,12.92,42.37,2.59
190,Palmer,0,AU,1547010000,38,-34.85,139.16,73.4,23.04
191,Barguzin,24,RU,1547011620,77,53.62,109.63,12.22,3.71
192,Alyangula,32,AU,1547010000,70,-13.85,136.42,86.0,9.17
193,Tuatapere,88,NZ,1547010946,72,-46.13,167.69,65.91,25.14
194,Maracai,36,BR,1547011621,89,-22.61,-50.67,73.92,9.37
195,Ilhabela,80,BR,1547011621,100,-23.78,-45.36,78.87,4.27
196,Manzanillo,80,CU,1547011621,100,20.34,-77.12,76.48,11.16
197,Kansanshi,92,ZM,1547011621,99,-12.1,26.43,64.74,4.38
198,Srednekolymsk,12,RU,1547011241,47,67.46,153.71,-29.23,2.37
199,Kajaani,90,FI,1547009400,92,64.22,27.73,19.4,2.24
200,Hami,76,CN,1547011315,77,42.84,93.51,16.59,4.34
201,Ribeira Grande,44,PT,1547010912,93,38.52,-28.7,64.42,27.16
202,Ahipara,88,NZ,1547011622,71,-35.17,173.16,74.19,5.61
203,Xapuri,92,BR,1547011622,95,-10.65,-68.5,73.29,3.22
204,Ranghulu,0,CN,1547011623,35,46.63,124.88,27.66,13.44
205,Namibe,92,AO,1547011299,100,-15.19,12.15,72.66,4.0
206,Soyo,92,AO,1547011623,91,-6.13,12.37,77.92,4.23
207,Laguna,88,MX,1547011623,87,27.52,-110.01,60.42,2.26
208,Guerrero Negro,88,MX,1547009858,80,27.97,-114.04,54.93,3.6
209,Egvekinot,0,RU,1547011624,100,66.32,-179.17,-31.52,4.83
210,Victoria,75,BN,1547008200,79,5.28,115.24,87.8,4.7
211,Shingu,20,JP,1547010000,39,33.72,135.99,46.4,19.46
212,Non Thai,20,TH,1547006400,49,15.2,102.07,91.4,11.41
213,George Town,75,MY,1547010000,59,5.42,100.33,91.4,10.29
214,Deputatskiy,56,RU,1547011624,0,69.3,139.9,-38.27,2.77
215,Lucea,20,JM,1547010000,83,18.44,-78.17,75.2,3.36
216,Parana,0,BR,1547010000,94,-7.52,-72.89,73.4,1.7
217,Nipawin,1,CA,1547010000,76,53.36,-104.02,-11.21,8.05
218,Yulara,0,AU,1547010000,10,-25.24,130.99,98.6,8.05
219,Pokhara,0,NP,1547011625,51,28.21,83.99,55.42,2.71
220,Kapelle,75,NL,1547009700,80,51.49,3.96,42.8,5.82
221,Raudeberg,75,NO,1547009400,80,61.99,5.14,35.6,6.93
222,Trairi,92,BR,1547011687,100,-3.28,-39.27,77.34,14.29
223,Hasaki,20,JP,1547010000,28,35.73,140.83,46.4,13.87
224,Medea,20,DZ,1547010000,86,36.27,2.77,41.0,3.36
225,Sorong,32,ID,1547011687,100,-0.86,131.25,82.87,8.25
226,Calvinia,36,ZA,1547011687,87,-31.47,19.78,57.36,4.34
227,Derzhavinsk,48,KZ,1547011687,82,51.1,66.31,5.34,12.44
228,East London,75,ZA,1547010000,100,-33.02,27.91,69.8,2.24
229,Inhambane,32,MZ,1547011688,81,-23.87,35.38,83.5,5.57
230,Kieta,92,PG,1547011688,100,-6.22,155.63,76.8,4.72
231,Prince Rupert,90,CA,1547010000,74,54.32,-130.32,33.8,3.36
232,Mahebourg,40,MU,1547010000,70,-20.41,57.7,84.2,11.41
233,Bilibino,0,RU,1547011688,48,68.06,166.44,-9.02,5.57
234,Diego de Almagro,0,CL,1547011689,92,-26.39,-70.05,50.02,2.55
235,Collie,0,AU,1547011689,27,-33.36,116.15,89.58,7.4
236,Shimoda,20,JP,1547010000,31,34.7,138.93,50.0,6.93
237,Grand-Lahou,0,CI,1547011689,91,5.24,-5.0,74.91,2.77
238,Cherskiy,0,RU,1547011251,36,68.75,161.3,-24.28,2.59
239,Srikakulam,0,IN,1547011689,100,18.29,83.89,76.53,4.05
240,Sebezh,76,RU,1547011690,82,56.29,28.48,17.53,13.78
241,Merauke,56,ID,1547011230,81,-8.49,140.4,85.57,11.39
242,Osakarovka,68,KZ,1547011690,92,50.56,72.58,16.59,14.34
243,Rosarito,68,CO,1547011690,99,4.91,-75.23,62.58,2.55
244,Dzilam Gonzalez,44,MX,1547011690,97,21.28,-88.93,70.86,2.89
245,Kenai,40,US,1547009760,82,60.55,-151.26,8.06,5.82
246,Ponta do Sol,68,BR,1547010897,98,-20.63,-46.0,64.2,1.59
247,Bam,0,IR,1547011691,35,29.11,58.36,61.18,4.38
248,Ures,32,MX,1547011691,99,30.73,-112.95,44.62,2.77
249,Yar-Sale,44,RU,1547010917,88,66.83,70.83,-10.24,10.27
250,Amapa,75,HN,1547010000,94,15.09,-87.97,73.4,6.93
251,Sao Joao dos Patos,80,BR,1547011692,94,-6.5,-43.7,73.38,3.22
252,Marystown,8,CA,1547011692,100,47.17,-55.16,16.41,10.83
253,Huarmey,0,PE,1547011283,92,-10.07,-78.15,59.43,2.71
254,Ambilobe,80,MG,1547011692,100,-13.19,49.05,74.95,4.34
255,Naze,8,NG,1547011692,89,5.43,7.07,64.65,2.89
256,Padang,20,ID,1547008200,70,-0.92,100.36,86.0,8.05
257,Bayir,20,TR,1547009400,92,37.27,28.22,30.2,4.7
258,Putina,8,PE,1547011693,84,-14.91,-69.87,29.77,2.55
259,Lata,0,IN,1547011290,76,30.78,78.62,43.41,1.77
260,Daru,20,SL,1547011297,66,7.99,-10.85,68.02,2.59
261,Te Anau,92,NZ,1547011269,75,-45.41,167.72,61.23,17.65
262,Leshukonskoye,80,RU,1547011693,68,64.9,45.76,7.72,5.35
263,Kaitangata,80,NZ,1547010939,61,-46.28,169.85,66.81,7.4
264,Norman Wells,5,CA,1547006400,64,65.28,-126.83,-41.81,3.49
265,Port Lincoln,0,AU,1547011242,79,-34.72,135.86,66.99,13.06
266,San Rafael,44,AR,1547011694,14,-34.61,-68.33,71.8,14.67
267,Mafeteng,0,LS,1547010000,72,-29.82,27.24,62.6,5.84
268,Kahului,40,US,1547009760,68,20.89,-156.47,73.4,8.05
269,Panjakent,24,UZ,1547010000,86,39.5,67.61,41.0,4.7
270,Souillac,90,FR,1547008200,100,45.6,-0.6,37.4,8.05
271,Codrington,92,AU,1547006400,51,-28.95,153.24,84.2,3.36
272,Iquique,0,CL,1547010000,73,-20.22,-70.14,69.8,3.36
273,Ternate,40,PH,1547010000,55,14.29,120.72,87.8,11.41
274,Sidmouth,0,GB,1547009400,100,50.68,-3.24,33.8,1.12
275,Alamos,64,AR,1547011757,65,-36.9,-62.36,66.85,3.22
276,Tuy Hoa,88,VN,1547011757,93,13.08,109.3,77.34,9.75
277,Chara,75,GR,1547011200,74,39.42,22.43,28.4,4.7
278,Kailua,90,US,1547009820,81,21.39,-157.74,75.92,4.61
279,La Ronge,5,CA,1547010000,83,55.1,-105.3,-14.81,4.7
280,Divnogorsk,0,RU,1547010000,49,55.96,92.38,26.6,13.42
281,Utinga,75,BR,1547010000,88,-5.82,-35.4,80.6,2.24
282,Ondo,0,NG,1547011758,69,7.1,4.83,62.94,2.77
283,Aguimes,0,ES,1547010000,77,27.91,-15.45,59.0,6.93
284,Kruisfontein,92,ZA,1547010946,97,-34.0,24.73,64.65,0.76
285,Guamuchil,80,MX,1547011759,75,25.47,-108.1,67.75,5.73
286,Pangoa,88,PE,1547011760,100,-12.12,-73.0,64.02,1.88
287,Cancun,75,MX,1547009220,100,21.17,-86.85,69.8,3.36
288,Cordoba,80,CO,1547011501,100,5.59,-73.79,52.32,2.1
289,Moose Jaw,5,CA,1547010000,83,50.4,-105.54,-7.61,4.7
290,Esik,90,KZ,1547010000,77,43.36,77.47,35.6,6.71
291,Lagos,0,NG,1547006400,88,6.46,3.39,77.0,3.36
292,Yilan,75,TW,1547010000,82,24.75,121.75,68.0,18.34
293,Ulladulla,90,AU,1547010000,94,-35.36,150.48,68.0,11.41
294,Marovoay,40,MG,1547010000,83,-16.11,46.64,82.4,2.24
295,Nanortalik,0,GL,1547010943,99,60.14,-45.24,27.3,39.68
296,Quatre Cocos,40,MU,1547010000,70,-20.21,57.76,84.2,11.41
297,Beira,40,ES,1547010000,97,43.2,-8.36,37.4,5.82
298,Beacon,90,US,1547011200,100,41.5,-73.97,39.02,5.28
299,Beysehir,0,TR,1547011763,100,37.68,31.72,-1.37,2.59
300,Saint-Augustin,48,FR,1547008200,93,44.83,-0.61,41.0,3.36
301,Praia,0,BR,1547006400,77,-20.25,-43.81,69.8,5.82
302,Talnakh,44,RU,1547010941,77,69.49,88.39,-7.85,5.12
303,Havelock,20,US,1547009880,77,34.88,-76.9,62.6,16.11
304,San Carlos de Bariloche,40,AR,1547010000,93,-41.13,-71.31,39.2,16.11
305,Vila Franca do Campo,20,PT,1547008200,72,37.72,-25.43,60.8,17.22
306,Lebu,0,ET,1547010908,24,8.96,38.73,55.02,4.0
307,Sydney,40,AU,1547010000,73,-33.85,151.22,84.2,20.8
308,Hue,40,VN,1547010000,78,16.47,107.58,80.6,9.17
309,Atar,0,MR,1547011253,60,20.52,-13.05,41.16,2.82
310,Kifri,88,IQ,1547011764,74,34.69,44.96,46.74,9.31
311,Caravelas,36,BR,1547010906,99,-17.73,-39.27,80.53,12.55
312,General Pico,24,AR,1547011765,78,-35.66,-63.75,64.92,4.27
313,Yarmouth,0,GB,1547011826,100,50.71,-1.5,32.38,13.96
314,Ancud,20,CL,1547010000,93,-41.87,-73.83,41.0,3.36
315,Kaeo,36,NZ,1547011827,54,-35.1,173.78,77.02,5.28
316,Fort-Shevchenko,36,KZ,1547011827,100,44.51,50.26,28.74,18.1
317,Marawi,64,PH,1547011827,38,8.0,124.29,87.87,4.5
318,Nantucket,90,US,1547011200,100,41.28,-70.1,46.04,3.36
319,Ghanzi,0,BW,1547011827,59,-21.7,21.65,77.25,9.31
320,Panlaitan,92,PH,1547011828,82,12.12,119.85,83.55,17.47
321,Rio Gallegos,40,AR,1547010000,87,-51.62,-69.22,44.6,8.05
322,Russell,8,AR,1547011828,50,-33.01,-68.8,49.08,3.04
323,Alice Springs,0,AU,1547010000,9,-23.7,133.88,98.6,14.99
324,Saint John,90,CA,1547010900,100,45.28,-66.06,32.0,13.87
325,Neuquen,0,AR,1547010000,47,-38.95,-68.06,59.0,3.36
326,Macau,88,BR,1547011829,96,-5.11,-36.64,72.93,2.71
327,Labytnangi,48,RU,1547011829,31,66.66,66.39,-21.35,3.56
328,Broome,76,GB,1547009760,75,52.47,1.45,41.0,16.11
329,Pevek,0,RU,1547010190,59,69.7,170.27,-12.13,8.03
330,Rodnykove,92,UA,1547011830,92,47.68,37.95,20.95,7.85
331,Catuday,0,PH,1547011830,85,16.29,119.81,83.68,7.52
332,Lujiang,90,CN,1547010000,95,31.26,117.28,32.0,8.95
333,Galveston,90,US,1547012100,69,40.58,-86.19,36.5,25.28
334,Laredo,90,US,1547010900,87,27.51,-99.51,69.26,8.05
335,Beloretsk,88,RU,1547011831,88,58.67,52.48,18.21,8.93
336,Lima,0,PE,1547010000,78,-12.06,-77.04,75.2,8.05
337,Sangueya,32,GN,1547011831,78,10.7,-14.37,67.3,2.71
338,Miracema,0,BR,1547011831,94,-21.41,-42.2,69.33,2.1
339,Paamiut,68,GL,1547010925,100,61.99,-49.67,27.12,27.42
340,Emba,75,CY,1547010000,57,34.81,32.42,51.8,24.16
341,Sena Madureira,92,BR,1547011822,98,-9.07,-68.66,72.3,2.37
342,Bundaberg,75,AU,1547010000,48,-24.87,152.35,86.0,14.99
343,Altay,56,CN,1547011538,55,47.83,88.13,2.1,2.26
344,Labuhan,80,ID,1547011293,77,-2.54,115.51,82.83,3.11
345,Monzon,90,IT,1547009700,100,46.45,11.69,19.4,9.17
346,Kyzyl-Suu,64,KG,1547011307,100,42.34,78.0,25.63,4.12
347,Hamilton,90,CA,1547010000,100,43.26,-79.87,39.2,17.22
348,Venado Tuerto,0,AR,1547011833,93,-33.75,-61.97,70.86,7.81
349,Maniitsoq,64,GL,1547011833,100,65.42,-52.9,12.18,7.63
350,Petropavlovsk-Kamchatskiy,24,RU,1547010000,45,53.05,158.65,24.8,13.42
351,Pangai,75,TO,1547010000,88,-19.8,-174.35,82.4,2.24
352,Nabire,24,ID,1547011263,87,-3.36,135.5,77.97,1.81
353,Nome,1,US,1547009700,86,30.04,-94.42,62.96,5.82
354,Aleksandrovskoye,20,RU,1547010000,73,56.74,85.39,21.2,15.66
355,Husavik,88,CA,1547011254,82,50.56,-96.99,9.7,14.67
356,Vardo,75,US,1547010000,58,39.62,-77.74,51.8,27.51
357,Kisangani,12,CD,1547011834,100,0.52,25.21,73.15,2.89
358,Cortez,1,US,1547009580,84,37.35,-108.58,19.04,5.82
359,Verkhnevilyuysk,76,RU,1547011895,60,63.45,120.31,-12.98,5.73
360,Porto Velho,40,BR,1547010000,88,-8.75,-63.87,77.0,2.26
361,Adamas,0,GR,1547011200,100,36.73,24.43,44.6,4.7
362,Navirai,20,BR,1547011842,90,-23.07,-54.19,73.83,3.89
363,Sorland,75,NO,1547009400,80,67.67,12.69,35.6,14.99
364,Thinadhoo,56,MV,1547011896,100,0.53,72.93,83.32,15.46
365,Victoria Point,75,AU,1547010000,65,-27.58,153.3,84.2,11.41
366,Hosur,0,IN,1547010000,36,12.73,77.83,75.2,11.41
367,Chapleau,12,CA,1547011897,79,47.85,-83.4,18.7,6.35
368,Lishui,92,CN,1547011897,93,28.45,119.91,46.15,2.33
369,Manavalakurichi,20,IN,1547010000,70,8.13,77.3,84.2,6.93
370,Iroquois Falls,90,CA,1547010000,92,48.76,-80.69,28.4,8.05
371,Castrovillari,90,IT,1547009700,100,39.82,16.2,30.2,20.8
372,Mendi,0,ET,1547011898,58,9.8,35.1,66.9,2.26
373,Seoul,0,KR,1547010000,22,37.57,126.98,31.1,2.24
